id	name	category	default_tax_code	shortcut
763260709	自己株処分差益	その他資本剰余金	2	JIKOKABU
763260708	資本金及び準備金減少差益	その他資本剰余金	2	GENSHISA
763260809	工事未払金	仕入債務	2	KOUJIMI
763260681	支払手形	仕入債務	2	SHIHARAI
763260682	買掛金	仕入債務	2	KAIKAKE
763260729	他勘定振替高(商)	他勘定振替高(商)	2	TAKANJO
763260715	その他有価証券評価差額金	他有価証券評価差額金	2	SONOTAYU
1034375137	freeeカード Unlimited	他流動負債	2	
763260700	仮受消費税	他流動負債	129	KARIUKES
763260696	仮受金	他流動負債	2	KARIUKEK
763260695	前受収益	他流動負債	2	MAEUKESH
763260693	前受金	他流動負債	2	MAEUKEKI
763260698	割引手形	他流動負債	2	WARIBIKI
763260803	役員借入金	他流動負債	2	YAKUINKA
763260811	未成工事受入金	他流動負債	2	KANSEIKOUJIU
763260690	未払事業税等	他流動負債	2	MIHARAIJ
763260688	未払役員賞与	他流動負債	2	MIHARAIY
763260689	未払法人税等	他流動負債	2	MIHARAIH
763260691	未払消費税等	他流動負債	2	MIHARAIS
763260686	未払費用	他流動負債	2	MIHARAIH
763260687	未払配当金	他流動負債	2	MIHARAIH
763260685	未払金	他流動負債	2	MIHARAIK
763260684	短期借入金	他流動負債	2	TANKIKAR
763260692	繰延税金負債(流)	他流動負債	2	KURINOBE
763260699	裏書手形	他流動負債	2	URAGAKI
763260683	設備支払手形	他流動負債	2	SETSUBI
763260810	賞与引当金	他流動負債	2	SHOUYOH
763260697	預り保証金	他流動負債	2	AZUKARIH
763260694	預り金	他流動負債	2	AZUKARIK
798539214	ＰａｙＰａｙ銀行（API）VISAデビット	他流動負債	2	
763260646	仮払消費税	他流動資産	136	KARIBARA
763260644	仮払金	他流動資産	2	KARIBARA
763260639	前払費用	他流動資産	2	MAEBARAI
763260637	前渡金	他流動資産	2	MAEWATAS
763260802	役員貸付金	他流動資産	2	YAKUINKAS
763260643	未収入金	他流動資産	2	MISHUUNY
763260641	未収収益	他流動資産	2	MISHUUSH
763260807	未収還付法人税等	他流動資産	2	MISHUKAN
763260642	短期貸付金	他流動資産	2	TANKIKAS
763260638	立替金	他流動資産	2	TATEKAE
763260640	繰延税金資産(流)	他流動資産	2	KURINOBE
763260647	貸倒引当金(他)	他流動資産	2	KASHIDAO
763260645	預け金	他流動資産	2	AZUKEKIN
763260711	別途積立金	任意積立金	2	BETTOTSU
763260710	利益準備金	利益準備金	2	RIEKIJUN
763260774	仕入割引	営業外収益	152	SHIIREWA
763260772	受取利息	営業外収益	23	UKETORIR
763260773	受取配当金	営業外収益	2	UKETORIH
763260775	有価証券売却益	営業外収益	10	YUUKASHO
763260816	為替差益	営業外収益	2	KAWASESAE
763260776	雑収入	営業外収益	129	ZATSUSHU
763260778	割引料	営業外費用	2	WARIBIKI
763260781	売上割引	営業外費用	143	URIAGEWA
763260779	手形売却損	営業外費用	2	TEGATABA
763260777	支払利息	営業外費用	2	SHIHARAI
763260782	有価証券売却損	営業外費用	2	YUUKASHO
763260817	為替差損	営業外費用	2	KAWASESAS
763260783	繰延資産償却(外)	営業外費用	2	KURINOBE
763260780	貸倒損失(外)	営業外費用	150	KASHIDAO
763260784	貸倒繰入額(外)	営業外費用	2	KASHIDAO
763260785	雑損失	営業外費用	136	ZATSUSON
763260703	繰延税金負債(固)	固定負債	2	KURINOBE
763260704	退職給付引当金	固定負債	2	TAISHOKU
763260701	長期借入金	固定負債	2	CHOUKIKA
763260702	長期未払金	固定負債	2	CHOUKIMI
763260717	土地再評価差額金	土地再評価差額金	2	TOCHISAI
763260626	売掛金	売上債権	2	URIKAKE
763260805	完成工事未収入金	売上債権	2	KANSEIKOUJIM
763260627	貸倒引当金(売)	売上債権	2	KASHIDAO
763260800	前年度繰越収益	売上高	2	ZENNEN
763260720	売上値引高	売上高	143	URIAGENE
763260722	売上割戻し高	売上高	143	URIAGEWA
763260721	売上戻り高	売上高	143	URIAGEMO
763260719	売上高	売上高	129	URIAGE
763260812	完成工事高	売上高	129	KANSEIKOUJID
763260723	役務収益	売上高	129	EKIMUSHU
763260726	仕入値引高	当期商品仕入	152	SHIIRENE
763260728	仕入割戻し高	当期商品仕入	152	SHIIREWA
763260727	仕入戻し高	当期商品仕入	152	SHIIREMO
763260725	仕入高	当期商品仕入	136	SHIIREDA
763260801	前年度繰越費用	当期商品仕入	2	ZENNEN
763260808	保険積立金	投資その他の資産	2	HOKENTSU
763260665	出資金	投資その他の資産	2	SHUSSHI
763260668	差入保証金	投資その他の資産	2	SASHIIRE
763260663	投資有価証券	投資その他の資産	2	TOUSHIYU
763260667	敷金	投資その他の資産	2	SHIKIKIN
763260673	繰延税金資産(固)	投資その他の資産	2	KURINOBE
763260675	貸倒引当金(投)	投資その他の資産	2	KASHIDAO
763260672	長期前払費用	投資その他の資産	2	CHOUKIMA
763260670	長期固定性預金	投資その他の資産	2	CHOUKIKO
763260671	長期滞留債権	投資その他の資産	2	CHOUKITA
763260669	長期貸付金	投資その他の資産	2	CHOUKIKA
763260666	関係会社出資金	投資その他の資産	2	KANKEIGA
763260664	関係会社株式	投資その他の資産	2	KANKEIGA
763260674	預託金	投資その他の資産	2	YOTAKU
763260797	損益	振替	2	
763260718	新株予約権	新株予約権	2	SHINKABU
763260706	新株式申込証拠金	新株式申込証拠金	2	SHINKABU
763260628	有価証券	有価証券	2	YUUKASHO
763260654	一括償却資産	有形固定資産	136	IKKATSUS
763260656	土地	有形固定資産	2	TOCHI
763260653	工具器具備品	有形固定資産	136	KOUGUKI
792280732	工具器具備品減価償却累計額	有形固定資産	2	
792280818	工具器具備品減損損失累計額	有形固定資産	2	
763260648	建物	有形固定資産	136	TATEMONO
763260657	建設仮勘定	有形固定資産	2	KENSETSU
763260650	構築物	有形固定資産	136	KOUCHIKU
763260651	機械装置	有形固定資産	136	KIKAISO
763260655	減価償却累計額	有形固定資産	2	GENKARUI
763260652	車両運搬具	有形固定資産	136	SHARYOU
763260649	附属設備	有形固定資産	136	FUZOKUSE
763260730	期末商品棚卸高	期末商品棚卸	2	KIMATSUS
763260724	期首商品棚卸高	期首商品棚卸	2	KISHUSHO
763260635	仕掛品	棚卸資産	2	SHIKAKAR
763260631	副産物作業くず	棚卸資産	2	FUKUSAN
